timestamp,sku,warehouse,region,on_hand_units,stockout_flag,unit_cost
2026-01-05T00:00:00+00:00,SKU-1001,DE,EMEA,367,False,66.16028093867214
2026-01-05T00:00:00+00:00,SKU-1001,US-East,AMER,333,False,63.11137775822803
2026-01-05T00:00:00+00:00,SKU-1001,SG,APAC,445,False,101.83697894392292
2026-01-05T00:00:00+00:00,SKU-4471,DE,EMEA,417,False,52.38111226734649
2026-01-05T00:00:00+00:00,SKU-4471,US-East,AMER,384,False,49.20942378487969
2026-01-05T00:00:00+00:00,SKU-4471,SG,APAC,318,False,82.12976671911397
2026-01-05T00:00:00+00:00,SKU-4472,DE,EMEA,398,False,45.10982406072975
2026-01-05T00:00:00+00:00,SKU-4472,US-East,AMER,433,False,41.9161122602757
2026-01-05T00:00:00+00:00,SKU-4472,SG,APAC,373,False,69.1496639974225
2026-01-05T00:00:00+00:00,SKU-2001,DE,EMEA,379,False,25.138562410231284
2026-01-05T00:00:00+00:00,SKU-2001,US-East,AMER,384,False,23.55622241769277
2026-01-05T00:00:00+00:00,SKU-2001,SG,APAC,339,False,39.261422522433016
2026-01-05T00:00:00+00:00,SKU-3001,DE,EMEA,396,False,16.436456257805304
2026-01-05T00:00:00+00:00,SKU-3001,US-East,AMER,432,False,15.53527746468215
2026-01-05T00:00:00+00:00,SKU-3001,SG,APAC,430,False,25.27545526646471
2026-01-05T01:00:00+00:00,SKU-1001,DE,EMEA,421,False,65.31087668211757
2026-01-05T01:00:00+00:00,SKU-1001,US-East,AMER,326,False,62.327707724622826
2026-01-05T01:00:00+00:00,SKU-1001,SG,APAC,341,False,102.86600362951572
2026-01-05T01:00:00+00:00,SKU-4471,DE,EMEA,400,False,52.51618579424829
2026-01-05T01:00:00+00:00,SKU-4471,US-East,AMER,403,False,49.46185322436567
2026-01-05T01:00:00+00:00,SKU-4471,SG,APAC,401,False,81.83988459382172
2026-01-05T01:00:00+00:00,SKU-4472,DE,EMEA,392,False,43.66469922934729
2026-01-05T01:00:00+00:00,SKU-4472,US-East,AMER,361,False,41.70731847349693
2026-01-05T01:00:00+00:00,SKU-4472,SG,APAC,370,False,69.48259121176699
2026-01-05T01:00:00+00:00,SKU-2001,DE,EMEA,352,False,24.48230410310841
2026-01-05T01:00:00+00:00,SKU-2001,US-East,AMER,387,False,23.6653344820158
2026-01-05T01:00:00+00:00,SKU-2001,SG,APAC,389,False,37.99502249555529
2026-01-05T01:00:00+00:00,SKU-3001,DE,EMEA,367,False,16.442119317866634
2026-01-05T01:00:00+00:00,SKU-3001,US-East,AMER,438,False,15.521701327927317
2026-01-05T01:00:00+00:00,SKU-3001,SG,APAC,396,False,25.418211454278357
2026-01-05T02:00:00+00:00,SKU-1001,DE,EMEA,412,False,66.26210962327957
2026-01-05T02:00:00+00:00,SKU-1001,US-East,AMER,341,False,64.1965626807988
2026-01-05T02:00:00+00:00,SKU-1001,SG,APAC,407,False,101.77895319150244
2026-01-05T02:00:00+00:00,SKU-4471,DE,EMEA,364,False,52.11440589771772
2026-01-05T02:00:00+00:00,SKU-4471,US-East,AMER,401,False,49.93292174993219
2026-01-05T02:00:00+00:00,SKU-4471,SG,APAC,400,False,81.37943812739911
