week_start,week_idx,campaign_id,product_family,region,spend,impressions,promo_flag,promo_depth
2026-01-05,1,CMP-family_a-EMEA,family_a,EMEA,3652.3467203006235,146093,False,0.0
2026-01-05,1,CMP-family_a-AMER,family_a,AMER,4292.572157568339,171702,False,0.0
2026-01-05,1,CMP-family_a-APAC,family_a,APAC,3727.7786582870026,149111,False,0.0
2026-01-05,1,CMP-family_b-EMEA,family_b,EMEA,3929.676573744318,157187,False,0.0
2026-01-05,1,CMP-family_b-AMER,family_b,AMER,4068.106236669758,162724,False,0.0
2026-01-05,1,CMP-family_b-APAC,family_b,APAC,3962.2205607830783,158488,False,0.0
2026-01-05,1,CMP-family_c-EMEA,family_c,EMEA,3808.554154380731,152342,False,0.0
2026-01-05,1,CMP-family_c-AMER,family_c,AMER,4805.528042533895,192221,False,0.0
2026-01-05,1,CMP-family_c-APAC,family_c,APAC,4191.369447515846,167654,False,0.0
2026-01-05,1,CMP-family_d-EMEA,family_d,EMEA,4278.451645827818,171138,False,0.0
2026-01-05,1,CMP-family_d-AMER,family_d,AMER,4776.518126011782,191060,False,0.0
2026-01-05,1,CMP-family_d-APAC,family_d,APAC,3989.3940442485464,159575,False,0.0
2026-01-12,2,CMP-family_a-EMEA,family_a,EMEA,4171.958797788781,166878,False,0.0
2026-01-12,2,CMP-family_a-AMER,family_a,AMER,4946.260665968284,197850,False,0.0
2026-01-12,2,CMP-family_a-APAC,family_a,APAC,3869.2810933165906,154771,False,0.0
2026-01-12,2,CMP-family_b-EMEA,family_b,EMEA,4122.070229166037,164882,False,0.0
2026-01-12,2,CMP-family_b-AMER,family_b,AMER,4590.185019626504,183607,False,0.0
2026-01-12,2,CMP-family_b-APAC,family_b,APAC,4288.003345083048,171520,False,0.0
2026-01-12,2,CMP-family_c-EMEA,family_c,EMEA,3832.620995980631,153304,False,0.0
2026-01-12,2,CMP-family_c-AMER,family_c,AMER,4530.644279799929,181225,False,0.0
2026-01-12,2,CMP-family_c-APAC,family_c,APAC,4072.467718633888,162898,False,0.0
2026-01-12,2,CMP-family_d-EMEA,family_d,EMEA,4051.6220534041995,162064,False,0.0
2026-01-12,2,CMP-family_d-AMER,family_d,AMER,4222.926968637041,168917,False,0.0
2026-01-12,2,CMP-family_d-APAC,family_d,APAC,4072.031046447477,162881,False,0.0
2026-01-19,3,CMP-family_a-EMEA,family_a,EMEA,3976.3004600966055,159052,False,0.0
2026-01-19,3,CMP-family_a-AMER,family_a,AMER,4544.857994683641,181794,False,0.0
2026-01-19,3,CMP-family_a-APAC,family_a,APAC,3968.9396675995413,158757,False,0.0
2026-01-19,3,CMP-family_b-EMEA,family_b,EMEA,4043.7943410156445,161751,False,0.0
2026-01-19,3,CMP-family_b-AMER,family_b,AMER,4182.228997865433,167289,False,0.0
2026-01-19,3,CMP-family_b-APAC,family_b,APAC,4310.493313599373,172419,False,0.0
2026-01-19,3,CMP-family_c-EMEA,family_c,EMEA,3827.7116653422863,153108,False,0.0
2026-01-19,3,CMP-family_c-AMER,family_c,AMER,4084.485392616924,163379,False,0.0
2026-01-19,3,CMP-family_c-APAC,family_c,APAC,3983.6051012330317,159344,False,0.0
2026-01-19,3,CMP-family_d-EMEA,family_d,EMEA,4291.496083504882,171659,False,0.0
2026-01-19,3,CMP-family_d-AMER,family_d,AMER,4480.7217766462545,179228,False,0.0
2026-01-19,3,CMP-family_d-APAC,family_d,APAC,4310.255124181133,172410,False,0.0
2026-01-26,4,CMP-family_a-EMEA,family_a,EMEA,4311.388400205716,172455,False,0.0
2026-01-26,4,CMP-family_a-AMER,family_a,AMER,4401.571659064383,176062,False,0.0
2026-01-26,4,CMP-family_a-APAC,family_a,APAC,3506.975836944529,140279,False,0.0
