date,week_start,week_idx,region,channel,category,product_family,sku,customer_segment,units,gross_amount,discount_amount,returns_amount,net_revenue
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_a,SKU-1001,Consumer,2.9251079459571194,351.0129535148543,0.0,7.020259070297087,343.99269444455723
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_a,SKU-1001,SMB,1.7550647675742717,210.60777210891257,0.0,4.212155442178251,206.39561666673433
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_a,SKU-1001,Enterprise,1.1700431783828478,140.40518140594173,0.0,2.8081036281188347,137.5970777778229
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_a,SKU-1001,Consumer,1.575058124746141,166.3261379731925,0.0,3.32652275946385,162.99961521372865
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_a,SKU-1001,SMB,0.9450348748476846,99.7956827839155,0.0,1.9959136556783097,97.79976912823719
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_a,SKU-1001,Enterprise,0.6300232498984565,66.53045518927699,0.0,1.33060910378554,65.19984608549146
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_b,SKU-4471,Consumer,2.951214920916368,280.36541748705497,0.0,5.6073083497411,274.75810913731385
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_b,SKU-4471,SMB,1.7707289525498207,168.219250492233,0.0,3.3643850098446597,164.85486548238833
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_b,SKU-4471,Enterprise,1.1804859683665472,112.146166994822,0.0,2.24292333989644,109.90324365492556
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_b,SKU-4471,Consumer,1.5891157266472749,132.85007474771217,0.0,2.6570014949542435,130.19307325275793
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_b,SKU-4471,SMB,0.9534694359883649,79.7100448486273,0.0,1.594200896972546,78.11584395165475
2026-01-05,2026-01-05,1,EMEA,marketplace,Electronics,family_b,SKU-4471,Enterprise,0.63564629065891,53.14002989908487,0.0,1.0628005979816975,52.07722930110317
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_b,SKU-4472,Consumer,2.9009444031919656,232.07555225535725,0.0,4.641511045107145,227.43404121025011
2026-01-05,2026-01-05,1,EMEA,direct,Electronics,family_b,SKU-4472,SMB,1.7405666419151793,139.24533135321434,0.0,2.784906627064287,136.46042472615005
